filename,class_label,data_source
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00044347.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\001ca53d.wav,Saxophone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\002d256b.wav,Trumpet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0033e230.wav,Glockenspiel,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00353774.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\003b91e8.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\003da8e5.wav,Knock,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0048fd00.wav,Gunshot_or_gunfire,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\004ad66f.wav,Clarinet,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0063ab88.wav,Computer_keyboard,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\006f2f32.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0075d39c.wav,Keys_jangling,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00780200.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0079d310.wav,Writing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0091fc7f.wav,Cello,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\0097160c.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00ad7068.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00c5808a.wav,Tearing,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00c82919.wav,Fart,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00c934d7.wav,Laughter,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00c9e799.wav,Oboe,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00cb787c.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00ce569f.wav,Hi-hat,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00d1fe46.wav,Cough,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00d3bba3.wav,Telephone,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00d40fa2.wav,Snare_drum,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00d9fa61.wav,Flute,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00e2b4cd.wav,Bark,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00f88dc5.wav,Glockenspiel,FSD
C:\Users\user\Desktop\FSDKaggle2018.audio_train\00fbb28b.wav,Chime,FSD
